 			recordClassName	targetType	name	displayName	shortDisplayName	description	geneOrTranscript	displayOrder	scope	scope	scope
			eupath/eupath.owl#recordClassName	eupath/eupath.owl#targetType	eupath/eupath.owl#name	EUPATH_0000052	eupath/eupath.owl#shortDisplayName	eupath/eupath.owl#description	eupath/eupath.owl#geneOrTranscript	EUPATH_0000274	eupath/eupath.owl#scope	eupath/eupath.owl#scope	eupath/eupath.owl#scope
GenomicSequencePropertiesCategory					GenomicSequencePropertiesCategory	Genomic Sequence Properties				5			
GenomicSequenceLocationCategory					GenomicSequenceLocationCategory	Genomic Location				6			
TextCategory					TextCategory	Text				1			
AlignmentsCategory	http://edamontology.org/topic_0080	Sequence Analysis			AlignmentsCategory	BLAT and Blast Alignments							
CodingPotentialCategory	http://edamontology.org/topic_0080	Sequence Analysis			CodingPotentialCategory	Coding Potential							
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.Awstats	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.Awstats						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.LoginStats	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.LoginStats						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.PageViewStats	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.PageViewStats						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.RecordPageViewStats	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.RecordPageViewStats						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.UserDatasets	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.UserDatasets						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.OrgPageViewMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.OrgPageViewMetrics						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.OrgParamCountMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.OrgParamCountMetrics						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.OrgParamNameMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.OrgParamNameMetrics						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.GenePageTableMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.GenePageTableMetrics						menu		
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.ToolMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.ToolMetrics						menu	
MetricsRecordClasses.MetricsRecordClass.MetricsQuestions.SearchMetrics	http://edamontology.org/topic_3172	Metrics	MetricsRecordClasses.MetricsRecordClass	search	MetricsQuestions.SearchMetrics						menu		
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByCompoundID	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByCompoundID						menu	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByEcReaction	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByEcReaction						menu	webservice	
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByFoldChange	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByFoldChange						menu	webservice	
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByGeneID	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByGeneID								
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByMolecularFormula	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByMolecularFormula						menu	webservice	
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByMolecularWeight	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByMolecularWeight						menu	webservice	
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPathway	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPathway						menu	webservice	
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPathwayID	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPathwayID								
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByText	http://edamontology.org/topic_3172	Metabolomics	CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByText						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstBySourceId	http://edamontology.org/topic_0219	annot and curation	EstRecordClasses.EstRecordClass	search	EstQuestions.EstBySourceId						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.ESTsByGeneIDs	http://edamontology.org/topic_3308	Transcriptomics	EstRecordClasses.EstRecordClass	search	EstQuestions.ESTsByGeneIDs						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstsByLibrary	http://edamontology.org/topic_3308	Transcriptomics	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsByLibrary						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstsByLocation	http://edamontology.org/topic_3308	Transcriptomics	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsByLocation						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstsBySimilarity	http://edamontology.org/topic_0080	Sequence Analysis	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsBySimilarity							webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstsByMultiBlast	http://edamontology.org/topic_0080	Sequence Analysis	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsByMultiBlast						menu	webservice	
EstRecordClasses.EstRecordClass.EstQuestions.EstsByWeightFilter	http://edamontology.org/topic_3308	Transcriptomics	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsByWeightFilter								
EstRecordClasses.EstRecordClass.EstQuestions.EstsWithGeneOverlap	http://edamontology.org/topic_3308	Transcriptomics	EstRecordClasses.EstRecordClass	search	EstQuestions.EstsWithGeneOverlap						menu	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByRNASeqMetaCycletbruTREU927_Rijo_Circadian_Regulation_ebi_rnaSeq_RSRC	searchCategory-transcriptomics-metacycle		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.								
GenesByRNASeqMetaCycletbruTREU927_Rijo_Circadian_Regulation_ebi_rnaSeq_RSRC						internal	webservice						
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByRNASeqMetaCyclencraOR74A_Bharath_Circadian_Time_Course_ebi_rnaSeq_RSRC	searchCategory-transcriptomics-metacycle		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByRNASeqMetaCyclencraOR74A_Bharath_Circadian_Time_Course_ebi_rnaSeq_RSRC						internal	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByMicroarrayMetaCycleagamPEST_microarrayExpression_GSE22585_circadian_rhythm_RSRC	searchCategory-transcriptomics-metacycle		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByMicroarrayMetaCycleagamPEST_microarrayExpression_GSE22585_circadian_rhythm_RSRC						internal	webservice	
													
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByRNASeqWGCNApfal3D7_Lee_Gambian_rnaSeq_RSRC	searchCategory-transcriptomics-iterativeWGCNA		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByRNASeqWGCNApfal3D7_Lee_Gambian_rnaSeq_RSRC						internal	webservice	
													
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByMicroarraypfal3D7_microarrayExpression_Derisi_TimeSeries_RSRC	searchCategory-transcriptomics-fold-change		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByMicroarraypfal3D7_microarrayExpression_Derisi_TimeSeries_RSRC						internal	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Llinas_RSRC	searchCategory-metabolomics-fold-change		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Llinas_RSRC						internal	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByFoldChangemetaboliteProfiles_LlinasMetabolites_RSRC	searchCategory-metabolomics-fold-change		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByFoldChangemetaboliteProfiles_LlinasMetabolites_RSRC						internal	webservice	
													
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Llinas_RSRC	searchCategory-metabolomics-percentile		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Llinas_RSRC						internal	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPercentilemetaboliteProfiles_LlinasMetabolites_RSRC	searchCategory-metabolomics-percentile		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPercentilemetaboliteProfiles_LlinasMetabolites_RSRC						internal	webservice	
													
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Barrett_PurineStarvation_RSRC	searchCategory-metabolomics-fold-change		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Barrett_PurineStarvation_RSRC						internal	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Barrett_AmphotericinB_Resistant_RSRC	searchCategory-metabolomics-fold-change		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByFoldChangecompoundMassSpec_Barrett_AmphotericinB_Resistant_RSRC						internal	webservice	
													
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Barrett_PurineStarvation_RSRC	searchCategory-metabolomics-percentile		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Barrett_PurineStarvation_RSRC						internal	webservice	
													
CompoundRecordClasses.CompoundRecordClass.CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Barrett_AmphotericinB_Resistant_RSRC	searchCategory-metabolomics-percentile		CompoundRecordClasses.CompoundRecordClass	search	CompoundQuestions.CompoundsByPercentilecompoundMassSpec_Barrett_AmphotericinB_Resistant_RSRC						internal	webservice	
													
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByCoexpression	searchCategory-coexpression		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByCoexpression						internal	webservice	
													
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByCandidaCoexpression	searchCategory-coexpression		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByCandidaCoexpression						internal	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByNeurosporaCoexpression	searchCategory-coexpression		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByNeurosporaCoexpression						internal	webservice	
 													
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByMicroarraypfal3D7_microarrayExpression_Derisi_TimeSeries_RSRCPercentile	searchCategory-transcriptomics-percentile		TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByMicroarraypfal3D7_microarrayExpression_Derisi_TimeSeries_RSRCPercentile						internal	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GeneByLocusTag	http://edamontology.org/topic_0219	annot and curation	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GeneByLocusTag						menu	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GeneBySingleLocusTag	http://edamontology.org/topic_3345	Data identity and mapping	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GeneBySingleLocusTag							webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GeneByTranscriptID	http://edamontology.org/topic_3345	Data identity and mapping	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GeneByTranscriptID							webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByBindingSiteFeature	http://edamontology.org/topic_0080	Sequence Analysis	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByBindingSiteFeature						menu	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByCentromereProximity	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByCentromereProximity						menu	webservice	
TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesByEcNumber	http://edamontology.org/topic_1775	Function analysis	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesByEcNumber						menu	webservice	
TranscriptRecordClasses.TranscriptRecordClass.InternalGeneDatasetQuestions.GenesByFunctionalGeneList	http://edamontology.org/topic_1775	Function analysis	TranscriptRecordClasses.TranscriptRecordClass	search	InternalGeneDatasetQuestions.GenesByFunctionalGeneList						menu		
TranscriptRecordClasses.TranscriptRecordClass.InternalGeneDatasetQuestions.GenesBySubcellularGeneList	http://edamontology.org/topic_0140	Protein targeting and localization	TranscriptRecordClasses.TranscriptRecordClass	search	InternalGeneDatasetQuestions.GenesBySubcellularGeneList						menu		
##TMP_TranscriptRecordClasses.TranscriptRecordClass.GeneQuestions.GenesBySubcellularGeneListcparIowaII_subcellular_localization_Striepen_Hyperlopit_RSRC	http://edamontology.org/topic_0140	Protein targeting and localization	TranscriptRecordClasses.TranscriptRecordClass	search	GeneQuestions.GenesBySubcellularGeneListcparIowaII_subcellular_localization_Striepen_Hyperlopit_RSRC						menu	webservice	
