#project	experiment	organism	sample	external_db_name	sort order
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	amastigote, esmeraldo-like	TcruziEsmeraldoLike_Proteomics_Brent_Amastigote_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	epimastigote, esmeraldo-like	TcruziEsmeraldoLike_Proteomics_Brent_Epimastigote_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	metacyclic trypomastigote, esmeraldo-like	TcruziEsmeraldoLike_Proteomics_Brent_Metacyclic_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	trypomastigote, esmeraldo-like	TcruziEsmeraldoLike_Proteomics_Brent_Trypomastigote_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	amastigote, nonesmeraldo-like	TcruziNonEsmeraldoLike_Proteomics_Brent_Amastigote_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	epimastigote, nonesmeraldo-like	TcruziNonEsmeraldoLike_Proteomics_Brent_Epimastigote_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	metacyclic trypomastigote, nonesmeraldo-like	TcruziNonEsmeraldoLike_Proteomics_Brent_Metacyclic_RSRC	
TriTrypDB	<b>Life cycle stages (Attwood et al.)</b>	<i>Trypanosoma cruzi</i>	trypomastigote, nonesmeraldo-like	TcruziNonEsmeraldoLike_Proteomics_Brent_Trypomastigote_RSRC	
TriTrypDB	<b>Mitochondrion of procyclic form (Panigrahi et al.)</b>	<i>Trypanosoma brucei</i>	mitochondrion of procyclic form	Tbrucei_Proteomics_PF_RSRC	
TriTrypDB	<b>Posttranslationally modified proteins from promastigote, amastigote, and differentiating promastigotes (Rosenzweig et al.)</b>	<i>Leishmania donovani</i>	glycosylated proteins	Linfantum_Proteomics_PTM_glycosylation_RSRC	
TriTrypDB	<b>Posttranslationally modified proteins from promastigote, amastigote, and differentiating promastigotes (Rosenzweig et al.)</b>	<i>Leishmania donovani</i>	acetylated proteins	Linfantum_Proteomics_PTM_acetylation_RSRC	
TriTrypDB	<b>Posttranslationally modified proteins from promastigote, amastigote, and differentiating promastigotes (Rosenzweig et al.)</b>	<i>Leishmania donovani</i>	methylated proteins	Linfantum_Proteomics_PTM_methylation_RSRC	
TriTrypDB	<b>Posttranslationally modified proteins from promastigote, amastigote, and differentiating promastigotes (Rosenzweig et al.)</b>	<i>Leishmania donovani</i>	phosphorylated proteins	Linfantum_Proteomics_PTM_phosphorylation_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	amastigote by 1DE, LC-MS/MS	Linfantum_Proteomics_Brotherton_SDS_Amastigote_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	amastigote by 2DE, LC-MS/MS, pH6-9	Linfantum_Proteomics_Brotherton_2DGel_6_9_Amastigote_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	amastigote by 2DE, LC-MS/MS, pH6-11	Linfantum_Proteomics_Brotherton_2DGel_6_11_Amastigote_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	amastigote secretome	Linfantum_Proteomics_Brotherton_Amastigote_Secreted_Protein_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	promastigote by 2DE, LC-MS/MS, pH6-9	Linfantum_Proteomics_Brotherton_2DGel_6_9_Promastigote_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	promastigote by 2DE, LC-MS/MS, pH6-11	Linfantum_Proteomics_Brotherton_2DGel_6_11_Promastigote_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	promastigote by 2DE, LC-MS/MS, temp and pH control	Linfantum_Proteomics_Brotherton_Promastigote_temperature_and_pH_non_stressed_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	promastigote by 2DE, LC-MS/MS, temp and pH stressed	Linfantum_Proteomics_Brotherton_Promastigote_temperature_and_pH_stressed_RSRC	
TriTrypDB	<b>Promastigote and amastigote life stages (Brotherton et al.)</b>	<i>Leishmania infantum</i>	promastigote secretome	Linfantum_Proteomics_Brotherton_Promastigote_Secreted_Protein_RSRC	
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	intact reservosome (B1), esmereldo-like, trypsin and endoproteinase digested	TcruziEsmeraldoLike_Proteomics_Reservosomes_B1TG_RSRC	
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	intact reservosome (B1), esmereldo-like, trypsin digested	TcruziEsmeraldoLike_Proteomics_Reservosomes_B1TU_RSRC	
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	reservosome membrane (B1M), esmereldo-like	TcruziEsmeraldoLike_Proteomics_Reservosomes_B1MTU_RSRC	
TriTrypDB	<b>Reservosome proteome (Sant'Anna)</b>	<i>Trypanosoma cruzi</i>	intact reservosome (B1), nonesmereldo-like, trypsin and endoproteinase digested	TcruziNonEsmeraldoLike_Proteomics_Reservosomes_B1TG_RSRC	
